n,f,starting_nodes,message_complexity,broadcasts,latency,network_connectivity
5,1,1,213,1,0.151015043258667,3
5,1,1,227,1,0.1622998714447021,3
5,1,1,233,1,0.1834821701049804,3
6,1,1,373,1,0.2020597457885742,3
6,1,1,321,1,0.1937129497528076,3
6,1,1,367,1,0.1768250465393066,3
7,1,1,559,1,0.2408783435821533,3
7,1,1,464,1,0.1978116035461425,3
7,1,1,669,1,0.2242753505706787,3
8,1,1,717,1,0.2388362884521484,3
8,1,1,809,1,0.2358870506286621,3
8,1,1,667,1,0.234025239944458,3
10,1,1,1315,1,0.6272544860839844,3
14,1,1,2603,1,0.747901439666748,3
14,1,1,2829,1,0.939934253692627,3
14,1,1,2686,1,0.8514859676361084,3
10,1,1,1184,1,0.4213757514953613,3
10,1,1,1376,1,0.4396147727966308,3
17,1,1,4072,1,1.7607553005218506,3
17,1,1,4721,1,1.4970872402191162,3
17,1,1,4530,1,1.3317537307739258,3
20,1,1,6375,1,2.7516400814056396,3
20,1,1,5849,1,2.5318987369537354,3
20,1,1,6011,1,1.9202325344085691,3
22,1,1,7662,1,3.4519834518432617,3
22,1,1,6968,1,3.564028263092041,3
25,1,1,10116,1,4.384111166000366,3
25,1,1,9780,1,4.534937381744385,3
22,1,1,6903,1,3.390350818634033,3
25,1,1,10290,1,4.601934432983398,3
